descripcion,categoria,tipo,cualidad,monto,fecha
té de manzanilla,alimentacion,egreso,variable,15,11/8/2026
venta de celular usado,ingreso,ingreso,variable,250,11/8/2026
pollo (pechuga),alimentacion,egreso,variable,80,11/8/2026
carne de res,alimentacion,egreso,variable,120,12/8/2026
cerdo,alimentacion,egreso,variable,100,12/8/2026
pescado,alimentacion,egreso,variable,90,12/8/2026
camarón,alimentacion,egreso,variable,200,12/8/2026
queso oaxaca,alimentacion,egreso,variable,55,13-08-26
queso panela,alimentacion,egreso,variable,45,13-08-26
crema,alimentacion,egreso,variable,25,13-08-26
mantequilla,alimentacion,egreso,variable,30,13-08-26
yogurth,alimentacion,egreso,variable,18,14-08-26
cereal,alimentacion,egreso,variable,50,14-08-26
avena,alimentacion,egreso,variable,25,14-08-26
miel,alimentacion,egreso,variable,60,14-08-26
mermelada,alimentacion,egreso,variable,30,15-08-26
refresco oxxo,alimentacion,egreso,variable,14,15-08-26
agua de sabor,alimentacion,egreso,variable,12,15-08-26
galletas gamesa,alimentacion,egreso,variable,18,15-08-26
chicles,alimentacion,egreso,variable,6,16-08-26
dulces,alimentacion,egreso,variable,10,16-08-26
bono de desempeño,ingreso,ingreso,variable,500,16-08-26
paletas,alimentacion,egreso,variable,8,16-08-26
palomitas (microondas),alimentacion,egreso,variable,22,16-08-26
papas fritas,alimentacion,egreso,variable,18,17-08-26
botanas surtidas,alimentacion,egreso,variable,25,17-08-26
cacahuates,alimentacion,egreso,variable,15,17-08-26
nueces,alimentacion,egreso,variable,35,17-08-26
semillas de girasol,alimentacion,egreso,variable,12,18-08-26
chocolate,alimentacion,egreso,variable,25,18-08-26
cajeta,alimentacion,egreso,variable,20,18-08-26
dulce de leche,alimentacion,egreso,variable,22,18-08-26
mazapán,alimentacion,egreso,variable,10,19-08-26
ate,alimentacion,egreso,variable,18,19-08-26
pulque,alimentacion,egreso,variable,30,19-08-26
tequila,alimentacion,egreso,variable,200,19-08-26
mezcal,alimentacion,egreso,variable,250,20-08-26
ron,alimentacion,egreso,variable,180,20-08-26
vodka,alimentacion,egreso,variable,170,20-08-26
trabajo freelance (redaccion),ingreso,ingreso,variable,100,20-08-26
whisky,alimentacion,egreso,variable,300,21-08-26
cerveza artesanal,alimentacion,egreso,variable,60,21-08-26
vino tinto,alimentacion,egreso,variable,150,21-08-26
vino blanco,alimentacion,egreso,variable,140,21-08-26
refresco de cola 600ml,alimentacion,egreso,variable,15,22-08-26
refresco de naranja,alimentacion,egreso,variable,15,22-08-26
agua mineral,alimentacion,egreso,variable,20,22-08-26
agua de coco,alimentacion,egreso,variable,18,22-08-26
jugo de manzana,alimentacion,egreso,variable,22,23-08-26
jugo de uva,alimentacion,egreso,variable,24,23-08-26
limonada,alimentacion,egreso,variable,12,23-08-26
naranjada,alimentacion,egreso,variable,15,23-08-26
pozole de pollo,alimentacion,egreso,variable,80,24-08-26
pozole de cerdo,alimentacion,egreso,variable,90,24-08-26
menudo,alimentacion,egreso,variable,100,24-08-26
birria,alimentacion,egreso,variable,120,24-08-26
cochinita pibil,alimentacion,egreso,variable,150,25-08-26
relleno negro,alimentacion,egreso,variable,130,25-08-26
escabeche,alimentacion,egreso,variable,40,25-08-26
sopa de lima,alimentacion,egreso,variable,60,25-08-26
venta de accesorios,ingreso,ingreso,variable,40,26-08-26
panucho,alimentacion,egreso,variable,35,26-08-26
salbute,alimentacion,egreso,variable,40,26-08-26
papadzules,alimentacion,egreso,variable,55,26-08-26
tzic de venado,alimentacion,egreso,variable,80,27-08-26
chaya,alimentacion,egreso,variable,25,27-08-26
huitlacoche,alimentacion,egreso,variable,50,27-08-26
flor de calabaza,alimentacion,egreso,variable,40,27-08-26
quintoniles,alimentacion,egreso,variable,35,28-08-26
verdolagas,alimentacion,egreso,variable,20,28-08-26
espinaca,alimentacion,egreso,variable,25,28-08-26
lechuga,alimentacion,egreso,variable,18,28-08-26
pimiento,alimentacion,egreso,variable,20,29-08-26
camote,alimentacion,egreso,variable,18,29-08-26
yuca,alimentacion,egreso,variable,22,29-08-26
malanga,alimentacion,egreso,variable,25,29-08-26
taro,alimentacion,egreso,variable,28,30-08-26
haba,alimentacion,egreso,variable,20,30-08-26
alubia,alimentacion,egreso,variable,22,30-08-26
soya,alimentacion,egreso,variable,35,30-08-26
tofu,alimentacion,egreso,variable,40,31-08-26
seitán,alimentacion,egreso,variable,45,31-08-26
queso fresco,alimentacion,egreso,variable,50,31-08-26
queso manchego,alimentacion,egreso,variable,60,31-08-26
tren suburbano,transporte,egreso,variable,8,1/8/2026
pago de tenencia,transporte,egreso,variable,300,2/8/2026
verificacion vehicular,transporte,egreso,variable,250,2/8/2026
cambio de aceite,transporte,egreso,variable,350,3/8/2026
llantas nuevas,transporte,egreso,variable,800,3/8/2026
afinacion de auto,transporte,egreso,variable,400,4/8/2026
lavado de auto,transporte,egreso,variable,100,4/8/2026
encerado de auto,transporte,egreso,variable,80,5/8/2026
reembolso de viaje,ingreso,ingreso,variable,150,5/8/2026
gasolina premium,transporte,egreso,variable,450,5/8/2026
estacionamiento centro,transporte,egreso,variable,60,6/8/2026
multa de tránsito,transporte,egreso,variable,150,6/8/2026
pasaje de autobús foráneo,transporte,egreso,variable,200,6/8/2026
pasaje de avion (doméstico),transporte,egreso,variable,800,7/8/2026
taxi del aeropuerto,transporte,egreso,variable,300,7/8/2026
mantenimiento de frenos,transporte,egreso,variable,250,7/8/2026
batería nueva,transporte,egreso,variable,350,8/8/2026
motor-taxi,transporte,egreso,variable,60,8/8/2026
trolebús,transporte,egreso,variable,4,8/8/2026
bicicleta (compra),transporte,egreso,variable,1500,9/8/2026
casco de bicicleta,transporte,egreso,variable,200,9/8/2026
consulta de oftalmologo,salud,egreso,variable,600,9/8/2026
lentes graduados,salud,egreso,variable,800,10/8/2026
estudios de laboratorio,salud,egreso,variable,450,10/8/2026
radiografía,salud,egreso,variable,300,10/8/2026
resonancia magnética,salud,egreso,variable,1200,11/8/2026
terapia de lenguaje,salud,egreso,variable,500,11/8/2026
vacuna antirrábica,salud,egreso,variable,150,11/8/2026
venta de arte local,ingreso,ingreso,variable,70,12/8/2026
vacuna influenza,salud,egreso,variable,200,12/8/2026
seguro de vida,salud,egreso,fijo_vital,300,12/8/2026
farmacia guadalajara,salud,egreso,variable,80,13-08-26
farmacia simi,salud,egreso,variable,60,13-08-26
curita y vendas,salud,egreso,variable,25,13-08-26
termometro,salud,egreso,variable,100,14-08-26
tensiometro,salud,egreso,variable,200,14-08-26
glucometro,salud,egreso,variable,250,14-08-26
tiras de glucosa,salud,egreso,variable,150,15-08-26
insulina,salud,egreso,variable,350,15-08-26
inhalador,salud,egreso,variable,180,15-08-26
reparacion de gotera,vivienda,egreso,variable,500,16-08-26
impermeabilizante,vivienda,egreso,variable,600,16-08-26
pintura de pared,vivienda,egreso,variable,400,16-08-26
compra de cortinas,vivienda,egreso,variable,300,17-08-26
compra de alfombra,vivienda,egreso,variable,250,17-08-26
fumigacion,vivienda,egreso,variable,350,17-08-26
cerrojo nuevo,vivienda,egreso,variable,200,18-08-26
reparacion de plomería,vivienda,egreso,variable,450,18-08-26
reparacion eléctrica,vivienda,egreso,variable,400,18-08-26
regalo de familia,ingreso,ingreso,variable,100,19-08-26
mantenimiento de jardín,vivienda,egreso,variable,300,19-08-26
lavado de tanque de agua,vivienda,egreso,variable,250,19-08-26
abono para lavadora,vivienda,egreso,variable,150,20-08-26
abono para refrigerador,vivienda,egreso,variable,200,20-08-26
compra de microondas,vivienda,egreso,variable,800,20-08-26
compra de licuadora,vivienda,egreso,variable,400,21-08-26
compra de sartén,vivienda,egreso,variable,180,21-08-26
compra de vajilla,vivienda,egreso,variable,220,21-08-26
compra de cubiertos,vivienda,egreso,variable,150,22-08-26
mueble para sala,vivienda,egreso,variable,1000,22-08-26
lámpara de techo,vivienda,egreso,variable,200,22-08-26
cuota de taller de arte,educacion,egreso,variable,350,23-08-26
cuota de taller de música,educacion,egreso,variable,400,23-08-26
clase de guitarra,educacion,egreso,variable,300,23-08-26
clase de piano,educacion,egreso,variable,350,24-08-26
examen de admision universidad,educacion,egreso,variable,600,24-08-26
pago de beca (parcial),educacion,egreso,variable,300,24-08-26
venta de herramienta,ingreso,ingreso,variable,90,25-08-26
libro de literatura,educacion,egreso,variable,250,25-08-26
libro de física,educacion,egreso,variable,350,25-08-26
libro de química,educacion,egreso,variable,320,26-08-26
libro de biología,educacion,egreso,variable,280,26-08-26
diccionario,educacion,egreso,variable,200,26-08-26
estuche escolar,educacion,egreso,variable,120,27-08-26
pegamento y tijeras,educacion,egreso,variable,40,27-08-26
papel bond,educacion,egreso,variable,30,27-08-26
cartulinas,educacion,egreso,variable,25,28-08-26
plumones,educacion,egreso,variable,35,28-08-26
colores,educacion,egreso,variable,45,28-08-26
sacapuntas,educacion,egreso,variable,10,29-08-26
goma de borrar,educacion,egreso,variable,8,29-08-26
lápiz mecánico,educacion,egreso,variable,25,29-08-26
pluma,educacion,egreso,variable,15,30-08-26
corrector,educacion,egreso,variable,12,30-08-26
ingreso por renta de cuarto,ingreso,ingreso,variable,1000,30-08-26
fax y envíos,educacion,egreso,variable,20,31-08-26
empastado de tesis,educacion,egreso,variable,150,31-08-26
suscripcion a hbo max,ocio,egreso,fijo_no_vital,120,31-08-26
suscripcion a disney+,ocio,egreso,fijo_no_vital,150,1/8/2026
suscripcion a amazon prime,ocio,egreso,fijo_no_vital,130,2/8/2026
salida a cenar (restaurante),ocio,egreso,variable,200,3/8/2026
cafetería (starbucks),ocio,egreso,variable,80,4/8/2026
cafetería (local),ocio,egreso,variable,40,5/8/2026
karaoke,ocio,egreso,variable,180,6/8/2026
billar,ocio,egreso,variable,60,7/8/2026
bowling,ocio,egreso,variable,100,8/8/2026
minigolf,ocio,egreso,variable,120,9/8/2026
tour en teotihuacán,ocio,egreso,variable,350,10/8/2026
paseo en lancha,ocio,egreso,variable,200,11/8/2026
renta de bicicleta de montaña,ocio,egreso,variable,150,12/8/2026
entrada a balneario,ocio,egreso,variable,250,8/13/2026
entrada a parque acuático,ocio,egreso,variable,300,8/14/2026
nieve de garrafa,ocio,egreso,variable,30,8/15/2026
esquites (callejeros),ocio,egreso,variable,20,16-08-26
crepas (puesto),ocio,egreso,variable,45,17-08-26
hot dog (callejero),ocio,egreso,variable,35,18-08-26
hamburguesa (callejera),ocio,egreso,variable,50,19-08-26
tacos de pescado,ocio,egreso,variable,60,20-08-26
tacos de camaron,ocio,egreso,variable,70,21-08-26
coctel de frutas,ocio,egreso,variable,40,22-08-26
aguas frescas (puesto),ocio,egreso,variable,15,23-08-26
pago de predial,servicios,egreso,fijo_vital,600,24-08-26
certificado de no adeudo,servicios,egreso,variable,100,25-08-26
comision bancaria,servicios,egreso,variable,50,26-08-26
manejo de cuenta,servicios,egreso,variable,80,27-08-26
seguro de auto,servicios,egreso,variable,400,28-08-26
afiliación a imss (cuota),servicios,egreso,variable,200,29-08-26
tintorería (traje),servicios,egreso,variable,150,30-08-26
lavandería ropa grande,servicios,egreso,variable,80,31-08-26
mantenimiento de calentador,servicios,egreso,variable,350,1/8/2026
servicio de plomería urgencia,servicios,egreso,variable,500,2/8/2026
servicio eléctrico emergencia,servicios,egreso,variable,400,3/8/2026
teléfono fijo (telmex),servicios,egreso,fijo_vital,180,4/8/2026
recarga de saldo at&t celular,servicios,egreso,variable,60,5/8/2026
recolección de basura (municipal),servicios,egreso,variable,150,6/8/2026
mantenimiento de elevador,servicios,egreso,variable,200,7/8/2026
cuota de condominio,servicios,egreso,variable,500,8/8/2026
pago a tarjeta de crédito (banorte),deudas,egreso,variable,550,9/8/2026
pago a tarjeta de crédito (hsbc),deudas,egreso,variable,480,10/8/2026
abono a préstamo automotriz,deudas,egreso,variable,750,11/8/2026
pago de crédito hipotecario,deudas,egreso,variable,900,12/8/2026
intereses por mora,deudas,egreso,variable,150,8/1/2026
pago a elektra (electrodoméstico),deudas,egreso,variable,320,8/14/2026
pago a coppel (mueble),deudas,egreso,variable,280,8/8/2026
pago a famsa (refrigerador),deudas,egreso,variable,300,8/8/2026
cuota de mantenimiento de tarjeta,deudas,egreso,variable,180,8/8/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10000,1/4/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10000,1/4/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10001,1/5/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10002,1/6/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10003,1/7/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10004,1/8/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10005,1/9/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10006,1/10/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10007,2/11/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10008,3/12/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10009,4/13/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10010,5/14/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10011,6/15/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10012,7/16/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10013,1/17/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10014,1/18/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10015,1/19/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10016,1/20/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10017,1/21/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10018,1/22/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10019,1/23/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10020,1/24/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10021,1/25/2026
sueldo semanal,ingreso,ingreso,fijo_vital,10000,2/26/2026
